lime_rank	gene_symbol	frequency	mean_abs_weight	mean_weight	positive_frac	pct_patients	direction	Is_Known_AMD	In_TabNet_Top50	Gene_Status
1	KCNH8	24	0.0271584901609679	0.0061419103841417	0.5	27.6	activating	False	True	Novel+TabNet
2	SEZ6L2	13	0.0323388028967355	0.0208500056072219	0.7692307692307693	14.9	activating	False	True	Novel+TabNet
3	FBN2	8	0.0078439005251864	-0.0028544924436334	0.375	9.2	suppressing	False	False	Novel_LIME_only
4	STIM2	7	0.0116065958821426	0.0028089015727159	0.4285714285714285	8.0	activating	False	False	Novel_LIME_only
5	FBXO33	7	0.0103263269427081	-0.0036135451287122	0.4285714285714285	8.0	suppressing	False	False	Novel_LIME_only
6	GADD45B	7	0.0092191529968149	0.0008796652392605	0.5714285714285714	8.0	activating	False	False	Novel_LIME_only
7	TIPARP	7	0.0086131827423767	0.0086131827423767	1.0	8.0	activating	False	False	Novel_LIME_only
8	RPS4Y1	6	0.0101325102717502	0.0045527708428301	0.6666666666666666	6.9	activating	False	False	Novel_LIME_only
9	FOSB	6	0.0085921230225819	-0.0025072428560453	0.5	6.9	suppressing	False	False	Novel_LIME_only
10	ARL2-SNX15	6	0.0071207631402709	-0.0064925084152796	0.1666666666666666	6.9	suppressing	False	False	Novel_LIME_only
11	HP	6	0.0068805872322743	0.0043856475398723	0.6666666666666666	6.9	activating	False	False	Novel_LIME_only
12	CSNK1E	5	0.0233655404957481	0.0109832561363607	0.6	5.7	activating	False	True	Novel+TabNet
13	ACTC1	5	0.0155237836505741	-0.0069786131254769	0.2	5.7	suppressing	False	False	Novel_LIME_only
14	OPN1SW	5	0.0129744853118771	0.0129744853118771	1.0	5.7	activating	False	False	Novel_LIME_only
15	HAUS2	5	0.0129511160067243	0.0026345049561784	0.6	5.7	activating	False	False	Novel_LIME_only
16	PRTG	5	0.0127024834484956	-0.0056860361550342	0.2	5.7	suppressing	False	False	Novel_LIME_only
17	CXCR4	5	0.0122072670192424	-0.0086765030585656	0.4	5.7	suppressing	False	True	Novel+TabNet
18	SCFD1	5	0.0120418032889238	-0.0120418032889238	0.0	5.7	suppressing	False	True	Novel+TabNet
19	ACTR6	5	0.0101241353839817	-0.0020974876770755	0.4	5.7	suppressing	False	False	Novel_LIME_only
20	KRT40	5	0.0070169181530429	-0.0070169181530429	0.0	5.7	suppressing	False	False	Novel_LIME_only
21	ISYNA1	5	0.0067626303870532	-0.0019594548318618	0.2	5.7	suppressing	False	False	Novel_LIME_only
22	CRHR1	5	0.0064524444022605	-0.0028316521369131	0.4	5.7	suppressing	False	True	Novel+TabNet
23	MMGT1	5	0.0060834993864906	0.0014143580783387	0.6	5.7	activating	False	True	Novel+TabNet
24	PHYHD1	4	0.0157678954614222	0.0035042447968439	0.75	4.6	activating	False	False	Novel_LIME_only
25	RNF111	4	0.0150940494886406	0.0150940494886406	1.0	4.6	activating	False	True	Novel+TabNet
26	NPAS2	4	0.0150027438251241	-0.0024929058849701	0.25	4.6	suppressing	False	False	Novel_LIME_only
27	LEMD3	4	0.0148283321514807	-0.0055028436239793	0.25	4.6	suppressing	False	False	Novel_LIME_only
28	NDUFS5	4	0.0146909076970708	-0.0053744388479845	0.25	4.6	suppressing	False	False	Novel_LIME_only
29	HES4	4	0.0144457516859101	-0.0092066410833183	0.25	4.6	suppressing	False	True	Novel+TabNet
30	RHOU	4	0.0141278929519635	-0.0046827498544159	0.5	4.6	suppressing	False	False	Novel_LIME_only
31	STRADA	4	0.0123980203637674	0.0004530149684845	0.75	4.6	activating	False	False	Novel_LIME_only
32	ZNF562	4	0.0122856493599826	-0.0036617834072574	0.5	4.6	suppressing	False	True	Novel+TabNet
33	IFITM2	4	0.012170929354062	0.0075274766284912	0.75	4.6	activating	False	False	Novel_LIME_only
34	PRPF38A	4	0.012000499340333	0.0037031701071772	0.5	4.6	activating	False	False	Novel_LIME_only
35	RP11-542C16.2	4	0.011513712206173	0.011513712206173	1.0	4.6	activating	False	False	Novel_LIME_only
36	ITGA4	4	0.010989114733115	0.0078970993100492	0.75	4.6	activating	False	False	Novel_LIME_only
37	C1QL2	4	0.0107809438414371	0.0086279646963355	0.75	4.6	activating	False	False	Novel_LIME_only
38	XXbac-BPG32J3.22	4	0.0101295453167849	-0.0034843485247503	0.5	4.6	suppressing	False	False	Novel_LIME_only
39	SYDE2	4	0.0093572866693135	-0.0058845932880947	0.5	4.6	suppressing	False	True	Novel+TabNet
40	P4HA1	4	0.008521935402962	-0.0017398383664089	0.25	4.6	suppressing	False	False	Novel_LIME_only
41	CRK	4	0.0084767221063496	0.0003779092805895	0.25	4.6	activating	False	False	Novel_LIME_only
42	PLGLB2	4	0.0083268430715454	-0.0065524786239912	0.25	4.6	suppressing	False	False	Novel_LIME_only
43	STMN4	4	0.0081640845345636	-0.0013671115808362	0.5	4.6	suppressing	False	False	Novel_LIME_only
44	NAA35	4	0.0077447646240297	-0.0039161390561257	0.5	4.6	suppressing	False	False	Novel_LIME_only
45	KBTBD11-OT1	4	0.0072989962538815	0.0063378976946228	0.75	4.6	activating	False	False	Novel_LIME_only
46	MT1F	4	0.0070969518632322	-0.0037596516589908	0.25	4.6	suppressing	False	True	Novel+TabNet
47	ZFP36L1	4	0.0069868143969981	0.004089690197573	0.75	4.6	activating	False	True	Novel+TabNet
48	PRPH	4	0.0068062959698716	-0.0040239260844692	0.25	4.6	suppressing	False	False	Novel_LIME_only
49	TMBIM4	4	0.0067603399727128	-0.0039866353366616	0.5	4.6	suppressing	False	False	Novel_LIME_only
50	PPP1R3C	4	0.0061811259750338	-0.0028711294966359	0.25	4.6	suppressing	False	False	Novel_LIME_only
